Nom	FreqN	SourceN	BigramN	Score_etym	ClSem_p	ClSem_h	ClSem_c	ClSem_a	Score_p	Score_h	Score_c	Score_a	SyllN	AccSyllN	AccZal	ClFlex	ClFlexZal	Genre	AllomV	AllomC	Segment	Adjectif	Context	FreqA	Radical	DPhoR	SuffDerA
кириши	168	slave	#к ки ир ри иш ши и#	-1.536760877424156	p	0	0	0	0.5475381372719174	0.1743281399075857	0.2359114611680331	0.2058026989218531	3	aad	a	I	4	m	0	0	0	киришский		109	кириш	cAlv	sk
мортира	451	autre	#м мо ор рт ти ир ра а#	0.1587919223074521	0	0	c	0	0.2535998199314077	0.3573301739989892	0.6825945657806786	0.3672064855626348	3	ad	a	II	1	f	0	0	0	мортирный		109	мортир	cDent	n
овраг	7858	slave	#о ов вр ра аг г#	0.6671104086750514	0	0	c	0	0.4038030771718248	0.2692010801051848	0.7045996918713029	0.3602500399612768	2	d	a	I	3	m	0	palat	0	овражный		109	овраж	cAlv	n
сарай	10637	autre	#с са ар ра ай й#	-0.6552541836919018	0	0	c	0	0.21706214747582	0.3612277361913015	0.7039904616211994	0.3441683835641897	2	d	a	I	6	m	0	0	0	сарайный		109	сараj	cAlv	n
тулуза	1071	autre	#т ту ул лу уз за а#	1.892673205316967	p	0	0	0	0.7053862306448238	0.3516881911906406	0.2375434825911184	0.2093780938611797	3	ad	a	II	1	f	0	0	0	тулузский		109	тулуз	cDent	sk
шифон	255	autre	#ш ши иф фо он н#	-1.4322871106531905	0	0	c	0	0.2047139723489267	0.356965020814895	0.6868626045208883	0.4946251633802204	2	d	a	I	1	m	0	0	0	шифоновый		109	шифон	cDent	Ov
кресло	37982	slave	#к кр ре ес сл ло о#	0.4704468227377136	0	0	c	0	0.1738911442705867	0.278464603147097	0.6511320707667416	0.3106339753944344	2	ad	a	I	1	n	1	mouil	0	кресельный		108	кресел	cDent	n
крестец	488	slave	#к кр ре ес ст те ец ц#	-0.6097845758144732	0	0	c	0	0.1860590402870504	0.2655916133398995	0.5499650560104403	0.3123925165704158	2	d	b	I	5	m	1	0	0	крестцовый		108	крестц	cDent	Ov
лувр	1285	autre	#л лу ув вр р#	-0.5663037784459021	p	0	0	0	0.5258486412359582	0.337428057435725	0.5165198629720219	0.3529794230555051	1	d	a	I	1	m	0	0	0	луврский		108	лувр	cDent	sk
лучок	446	slave	#л лу уч чо ок к#	0.9321759977436246	0	0	c	0	0.2304180878797015	0.5207034237372106	0.5775981164633592	0.4561994737918054	2	d	b	I	3	m	1	0	0	лучковый		108	лучк	cVel	Ov
облепиха	334	slave	#о об бл ле еп пи их ха а#	3.114286334389776	0	0	c	0	0.2483666148637091	0.3720821161349198	0.6392256714898401	0.3726534181444082	4	ad	a	II	3	f	0	0	0	облепиховый		108	облепих	cVel	Ov
партер	2173	autre	#п па ар рт те ер р#	-2.009531010283947	0	0	c	0	0.209877069757651	0.2483920707374332	0.4403858496028406	0.2963487671319683	2	d	a	I	1	m	0	0	0	партерный		108	партер	cDent	n
витрина	6116	autre	#в ви ит тр ри ин на а#	0.7873520180404414	0	0	c	0	0.2673928421283517	0.2813643827027177	0.5424751866637317	0.3778998869100059	3	ad	a	II	1	f	0	0	0	витринный		107	витрин	cDent	n
комиссариат	2204	autre	#к ко ом ми ис сс са ар ри иа ат т#	-4.9342834964793525	0	0	0	a	0.234622361654944	0.336379275112367	0.3650335645664106	0.4884616992612076	5	d	a	I	1	m	0	0	0	комиссариатский		107	комиссариат	cDent	sk
оксид	948	autre	#о ок кс си ид д#	0.1749977674942493	0	0	c	0	0.1558956285931703	0.2296420713964184	0.6750765703387447	0.4465945882579577	2	d	a	I	1	m	0	0	0	оксидный		107	оксид	cDent	n
пруд	13700	slave	#п пр ру уд д#	1.5097673126917053	0	0	c	0	0.391899305107669	0.3651520458461666	0.6370999239628963	0.330418121656983	1	d	b	I	1	m	0	0	0	прудовой		107	пруд	cDent	Ov
смычок	1604	slave	#с см мы ыч чо ок к#	1.249531169572739	0	0	c	0	0.2020241394520963	0.2922160679617602	0.5914021536099179	0.4476862373624681	2	d	b	I	3	m	1	0	0	смычковый		107	смычк	cVel	Ov
гринвич	399	autre	#г гр ри ин нв ви ич ч#	-1.7497261917512537	p	0	0	0	0.4878022424091891	0.2380924667629708	0.3155787510422619	0.374611899668971	2	ad	a	I	4	m	0	0	0	гринвичский		106	гринвич	cAlv	sk
инквизитор	1161	autre	#и ин нк кв ви из зи ит то ор р#	-3.1504924409214423	0	h	0	0	0.3310844629247456	0.439356615797228	0.232375739134384	0.3290905118301478	4	ad	a	I	1	m	0	0	0	инквизиторский		106	инквизитор	cDent	sk
